별점,날짜,리뷰
1,2026-05-28,무료 체험인 줄 알고 눌렀는데 일주일 뒤에 5만원 결제됨. 해지하려고 설정 다 뒤졌는데 어디 있는지도 모르겠어요. 사기 같음
1,2026-05-25,구독 해지 버튼이 앱 안에 없어요. 고객센터에 메일 보내도 답이 없고 이번 달 또 결제됐습니다. 별 하나도 아깝다
2,2026-05-21,수면 사운드는 좋은데 무료로 쓸 수 있는 게 거의 없음. 조금만 누르면 다 결제 유도라 피곤해요
1,2026-05-19,체험 끝나기 전에 해지했는데도 결제가 됐어요. 환불 요청하니 정책상 안 된다고만 하네요. 진짜 화납니다
1,2026-05-18,해지 방법이 너무 숨겨져 있어요. 결국 앱스토어 구독에서 직접 취소했네요. 앱 안에서 못 끄게 일부러 만든 듯
3,2026-05-15,명상 콘텐츠 자체는 괜찮아요. 근데 매일 자기 전에 푸시 알림이 너무 많이 와서 끄고 싶은데 알림 설정도 복잡함
1,2026-05-14,자동결제 동의한 적 없는데 결제됨. 카드사 통해서 막았습니다. 절대 카드 등록하지 마세요
2,2026-05-12,콘텐츠가 몇 개 없고 계속 같은 게 반복돼요. 신규 명상이 안 올라온 지 오래된 듯
1,2026-05-10,7일 무료라더니 3일째에 결제 알림이 왔어요. 기간 표시도 헷갈리게 해놨음
4,2026-05-09,잠들 때 듣기 좋아요. 다만 가격이 좀 비싸고 해지가 번거로운 게 흠
1,2026-05-07,해지하려고 30분 헤맸어요. 설정→계정→구독 어디에도 없고 결국 검색해서 겨우 찾음. 일부러 어렵게 만든 거죠?
1,2026-05-05,환불 문의했더니 자동응답만 오고 사람이 응대를 안 해요. 돈만 가져가고 연락이 안 됨
2,2026-05-03,음원 품질은 좋은데 무료 버전은 광고처럼 결제 팝업이 계속 떠서 집중이 안 돼요
1,2026-04-30,결제 후 환불 정책이 어디에도 명확히 안 적혀 있어요. 가입할 때는 쉽게 해놓고 나갈 때는 막아둠
3,2026-04-28,수면 추적 기능은 나쁘지 않은데 구독 관리가 불편해요. 언제 갱신되는지 앱에서 안 보여줌
1,2026-04-26,미성년자 자녀가 모르고 결제했는데 환불을 안 해줘요. 결제 확인 절차도 너무 허술합니다
2,2026-04-24,좋은 앱인데 해지가 너무 힘들어서 추천은 못 하겠어요. 친구가 물어보면 말립니다
1,2026-04-22,구독 끊었는데 다음 달에 또 빠져나갔어요. 해지가 제대로 처리됐는지 확인할 방법이 앱에 없습니다
4,2026-04-20,사운드 종류 많고 좋아요. 가격대비는 모르겠지만 일단 잘 자고 있어요
1,2026-04-18,결제는 1초, 해지는 1시간. 이게 정상인가요? 다신 안 씁니다
2,2026-04-15,알림이 너무 자주 와요. 명상하라고 하루에 4번씩 푸시 보내는데 오히려 스트레스
1,2026-04-12,무료라고 광고해서 깔았는데 핵심 기능은 다 유료. 결제 안 하면 쓸 게 없어요
