별점,날짜,리뷰
5,2026-05-30,깔끔하고 좋아요 잘 쓰고 있습니다
5,2026-05-29,심플해서 마음에 들어요
4,2026-05-28,무난하게 쓰기 좋네요
5,2026-05-27,디자인이 예뻐요 추천합니다
5,2026-05-26,잘 만들었어요 감사합니다
4,2026-05-25,쓸만해요. 가끔 좀 느린 것 같기도 하고
5,2026-05-24,데일리 할일 관리에 딱이에요
3,2026-05-22,그냥 평범한 투두앱이에요. 특별한 건 모르겠어요
5,2026-05-21,위젯이 편해서 좋아요
5,2026-05-20,오래 쓰고 있는데 만족합니다
4,2026-05-19,괜찮아요 다만 색상 테마가 좀 더 있으면 좋겠어요
5,2026-05-18,간단하고 직관적이에요
2,2026-05-17,업데이트하고 나서 한 번 튕겼어요. 다시 켜니까 괜찮긴 한데
5,2026-05-16,무료인데 광고도 없고 좋아요
5,2026-05-15,할 일 적기 편해요
4,2026-05-14,전반적으로 만족. 알림이 가끔 안 올 때가 있는 듯?
5,2026-05-12,깔끔 그 자체 잘 쓸게요
5,2026-05-11,좋은 앱 감사합니다
3,2026-05-10,나쁘진 않은데 다른 앱이랑 큰 차이는 모르겠네요
5,2026-05-09,예쁘고 가벼워요
