별점,날짜,리뷰
1,2026-05-29,운동 기록하다가 앱 종료되면 그날 기록이 통째로 날아가요. 1시간 운동한 게 사라지니 진짜 허탈합니다
2,2026-05-27,애플워치 연동이 자꾸 끊겨요. 워치로 측정한 심박수가 앱에 안 넘어옵니다
1,2026-05-26,세트 기록하는데 중간에 전화 한 통 받고 돌아오면 입력하던 게 초기화돼요. 자동저장 좀 해주세요
2,2026-05-24,데이터 동기화가 너무 느려요. 폰이랑 워치 기록이 따로 놀아서 어느 게 맞는지 모르겠음
1,2026-05-23,운동 중에 화면 꺼지면 타이머가 멈춰요. 휴식 타이머 믿고 있다가 세트 다 망쳤습니다
3,2026-05-22,기능은 많은데 운동 중에 입력이 너무 번거로워요. 땀 흘리면서 버튼 여러 번 누르기 힘듦
2,2026-05-20,클라우드 백업했는데 폰 바꾸니까 지난 6개월 기록이 안 불러와져요. 고객센터도 해결 못 해줌
1,2026-05-19,헬스장에서 인터넷 안 터지면 기록이 저장이 안 돼요. 오프라인에서도 되게 해주세요
2,2026-05-18,운동 도중에 실수로 뒤로가기 누르면 경고도 없이 입력 내용이 사라집니다
4,2026-05-17,운동 종류는 많아서 좋아요. 근데 기록 안정성이 좀 아쉬워요
1,2026-05-15,어제 한 운동이 오늘 보니 사라져 있어요. 동기화 과정에서 날아간 듯합니다
2,2026-05-14,워치 앱이랑 폰 앱 기록이 안 맞아요. 같은 운동이 두 번 기록되기도 하고
3,2026-05-13,UI는 괜찮은데 운동 중 빠른 입력이 안 돼서 흐름이 끊겨요
1,2026-05-11,중요한 PR(개인기록) 세웠는데 앱 꺼지면서 저장이 안 됐어요. 다시는 못 돌려받죠
2,2026-05-10,백그라운드 가면 운동 추적이 멈춰요. 음악 들으려고 앱 나갔다 오면 기록 끊김
4,2026-05-09,전체적으로 좋은데 가끔 데이터 날아가는 것만 고쳐지면 완벽
1,2026-05-08,운동 기록 앱에서 기록이 안 남으면 끝 아닌가요. 제일 기본이 안 됩니다
2,2026-05-06,동기화 오류 메시지가 자꾸 떠요. 뭘 어떻게 하라는 건지 설명도 없고
3,2026-05-05,입력 단계가 많아서 운동 집중이 깨져요. 한 번에 빠르게 기록되면 좋겠어요
1,2026-05-03,오프라인에서 기록한 거 온라인 되니까 덮어쓰기 돼서 다 사라졌어요. 최악
